Date : 2021-07-01 14:47:03
Directory : /Users/zouxinyu/Yuki/my-blog/src
Total : 75 files,  6082 codes, 903 comments, 808 blanks, all 7793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         37 |      5,010 |        705 |        661 |      6,376 |
| TypeScript |         14 |        588 |        174 |         79 |        841 |
| CSS        |          7 |        425 |         12 |         62 |        499 |
| XML        |         15 |         39 |          0 |          0 |         39 |
| SCSS       |          2 |         20 |         12 |          6 |         38 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |         75 |      6,082 |        903 |        808 |      7,793 |
| assets                                                                                                |         30 |        437 |        128 |         71 |        636 |
| assets/css                                                                                            |          8 |        144 |         22 |         26 |        192 |
| assets/css/adminCss                                                                                   |          3 |         33 |         14 |          9 |         56 |
| assets/img                                                                                            |         15 |         39 |          0 |          0 |         39 |
| assets/img/fontIcon                                                                                   |         14 |         14 |          0 |          0 |         14 |
| assets/img/footerImg                                                                                  |          1 |         25 |          0 |          0 |         25 |
| assets/ts                                                                                             |          7 |        254 |        106 |         45 |        405 |
| components                                                                                            |         28 |      3,779 |        488 |        507 |      4,774 |
| components/adminPage                                                                                  |          8 |      1,296 |        218 |        167 |      1,681 |
| components/adminPage/kanriPage                                                                        |          7 |      1,215 |        214 |        158 |      1,587 |
| components/appItem                                                                                    |          1 |         88 |          2 |         14 |        104 |
| components/backTop                                                                                    |          2 |        422 |         36 |         63 |        521 |
| components/backTop/css                                                                                |          1 |        301 |          2 |         42 |        345 |
| components/banner                                                                                     |          3 |        471 |         66 |         23 |        560 |
| components/banner/2021-haru                                                                           |          2 |        390 |         43 |         13 |        446 |
| components/banner/2021-natu                                                                           |          1 |         81 |         23 |         10 |        114 |
| components/blogFooter                                                                                 |          1 |         72 |          0 |         13 |         85 |
| components/classPageItem                                                                              |          1 |        144 |         15 |         20 |        179 |
| components/contentLine                                                                                |          1 |         55 |          0 |         10 |         65 |
| components/contentPageItem                                                                            |          2 |        213 |         21 |         36 |        270 |
| components/contentPageItem/contentPageItemTag                                                         |          1 |         35 |          0 |          6 |         41 |
| components/contentTop                                                                                 |          1 |        109 |          9 |         16 |        134 |
| components/home                                                                                       |          1 |         82 |          2 |         13 |         97 |
| components/indexList                                                                                  |          2 |        202 |         34 |         35 |        271 |
| components/indexList/indexListItem                                                                    |          1 |         20 |          1 |          7 |         28 |
| components/language                                                                                   |          1 |         58 |          4 |         10 |         72 |
| components/nav                                                                                        |          1 |        374 |         54 |         53 |        481 |
| components/topLogo                                                                                    |          1 |         91 |          8 |         13 |        112 |
| components/topProgress                                                                                |          1 |         58 |         19 |         12 |         89 |
| components/viewMore                                                                                   |          1 |         44 |          0 |          9 |         53 |
| plugins                                                                                               |          1 |          6 |          0 |          2 |          8 |
| router                                                                                                |          3 |        153 |         18 |          8 |        179 |
| store                                                                                                 |          1 |         63 |         10 |          2 |         75 |
| views                                                                                                 |          9 |      1,449 |        212 |        180 |      1,841 |
| views/adminPage                                                                                       |          2 |        145 |         11 |         14 |        170 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/zouxinyu/Yuki/my-blog/src/App.vue                                                              | Vue        |         83 |          7 |         16 |        106 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.css                                  | CSS        |         15 |          6 |          4 |         25 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.min.css                              | CSS        |          1 |          0 |          1 |          2 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.scss                                 | SCSS       |         17 |          8 |          4 |         29 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/common.css                                                | CSS        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/common.min.css                                            | CSS        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/common.scss                                               | SCSS       |          3 |          4 |          2 |          9 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/homeBack.css                                              | CSS        |         52 |          3 |          8 |         63 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/css/loadAnime.css                                             | CSS        |         54 |          1 |          7 |         62 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/anchor.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/androidapp.svg                                   | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/app.svg                                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/close.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/dot.svg                                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/heart.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/iosapp.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/loginOut.svg                                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/macapp.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/search.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/time.svg                                         | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/vue2.xLogo.svg                                   | XML        |          1 |          0 |          0 |          1 |
